stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
abused	1.n. 滥用，恶习；受虐 2.v. 滥用；虐待；辱骂（abuse的过去分词） 
visitor	1.n. 访问者，参观者；视察者；候鸟 
Zuckerberg	1.扎克伯格 
witnesses	1.n. [法] 证人；目击者；[法] 证据（witness的复数） 2.v. 作证；目睹（witness的三单形式） 
dragging	1.adj. 拖延的；拖曳用的 2.vt. 牵引（drag的现在分词） 
Leung	1.梁/亮；莱翁 2.n. (Leung)人名；(西)莱昂 
overblown	1.adj. 停息的；过分的；已盛开过的 2.v. 吹散；用力吹；过分渲染（overblow的过去分词） 
reviled	1.vt. 辱骂；斥责 2.vi. 辱骂；谩骂 
hardened	1.adj. 变硬的；坚定的 2.v. 坚定，变硬（harden的过去分词） 
xenophobic	1.adj. 恐惧外国人的 
grumbles	1.vi. 抱怨；嘟囔 2.n. 怨言 3.vt. 喃喃地说出 4.adj. 抱怨地表示；嘟囔地说 
fold	1.n. 折痕；信徒；羊栏 2.vt. 折叠；合拢；抱住；笼罩 3.vi. 折叠起来；彻底失败 
bursting	1.v. 爆炸；猛然打开；突然开始（burst的ing形式） 2.adj. 充满的；渴望的 
Statistics	1.n. 统计；统计学；[统计] 统计资料 
deadlock	1.n. 僵局，停顿 2.vt. 停顿；相持不下 3.vi. 死锁；停顿 
probable	1.n. 很可能的事；大有希望的候选者 2.adj. 很可能的；可信的 
toilet	1.n. 厕所，盥洗室；梳妆，打扮 2.vt. 给…梳妆打扮 3.vi. 梳妆，打扮 
franchise	1.n. 特权；公民权；经销权；管辖权 2.vt. 给…以特许（或特权）；赋予公民权 
Franklin	1.n. 小地主；乡绅 
installing	1.n. 安装；插入；任命 2.adj. 安装的 3.v. 安装；安置（install的ing形式）；正式任命 
untouched	1.adj. 未受影响的；未改变的；未触动过的；不受感动的 
fertiliser	1.n. 化肥（等于fertilizer） 
glamorous	1.adj. 迷人的，富有魅力的 
subdued	1.v. 使服从，压制，减弱（subdue 的过去式和过去分词） 2.adj. 减弱的；被制服的；被抑制的 
signalling	1.n. 信号传输法；发信号 
Breaking	1.n. 破坏；阻断 2.v. 破坏（break的ing形式） 
astronomers	1.天文学家 
atomic	1.adj. 原子的，原子能的；微粒子的 
enhanced	1.v. 提高；加强（enhance的过去分词） 2.adj. 加强的；增大的 
creditor	1.n. 债权人，贷方 
performers	1.n. 表演者；执行者（performer的复数形式） 
depicting	1.描绘 
Branfman	
unofficial	1.adj. 非官方的；非正式的 
wide-ranging	1.adj. 广泛的 
Stock	1.n. 股份，股票；库存；血统；树干 2.adj. 存货的，常备的；平凡的 3.vt. 进货；备有；装把手于… 4.vi. 囤积；办货；出新芽 5.n. (Stock)人名；(德、匈、捷)施托克；(英、法、葡、瑞典)斯托克 
assaults	1.n. 攻击（assault的复数） 2.vt. 攻击；袭击（assault的第三人称单数） 
irrational	1.n. [数] 无理数 2.adj. 不合理的；无理性的；荒谬的 
hawk	1.n. 鹰；鹰派成员；掠夺他人的人 2.vi. 清嗓；咳嗽；像鹰一般地袭击 3.vt. 兜售，沿街叫卖；捕捉；咳出 4.n. (Hawk)人名；(英)霍克；(西)奥克 
inclusion	1.n. 包含；内含物 
beneficial	1.adj. 有益的，有利的；可享利益的 
Tanzania	1.n. 坦桑尼亚（东非国家） 
McCain	1.n. 麦凯恩（美国共和党议员）；麦凯恩（姓氏） 
trimmed	1.adj. 平衡的；切边；纵倾的；修整过的 
Insurance	1.n. 保险；保险费；保险契约；赔偿金 
oblige	1.vt. 迫使；强制；赐，施恩惠；责成 2.vi. 帮忙；施恩惠 
mistaken	1.v. 弄错（mistake的过去分词） 2.adj. 错误的；弄错的；被误解的 
Mass	1.n. 块，团；群众，民众；大量，众多；质量 2.adj. 群众的，民众的；大规模的，集中的 3.vt. 使集合 4.vi. 聚集起来，聚集 
knocking	1.n. 爆震音；卡答卡答的故障声音 2.v. 敲（knock的ing形式） 
disarray	1.n. 无秩序；杂乱；衣冠不整 2.vt. 使混乱；弄乱；使脱去衣服 
advancing	1.v. 前进；超前（advance的ing形式） 2.adj. 前进的；年长的 
plotting	1.n. 测绘；标图 2.v. [测] 绘图；密谋（plot的ing形式） 
high-ranking	1.adj. 职位高的；阶级高的 
hawk	1.n. 鹰；鹰派成员；掠夺他人的人 2.vi. 清嗓；咳嗽；像鹰一般地袭击 3.vt. 兜售，沿街叫卖；捕捉；咳出 4.n. (Hawk)人名；(英)霍克；(西)奥克 
sucked	1.v. 吸，吮；吸收；吞没（suck的过去分词） 
Strip	1.n. 带；条状；脱衣舞 2.vt. 剥夺；剥去；脱去衣服 3.vi. 脱去衣服 
Arabian	1.n. 阿拉伯人 2.adj. 阿拉伯的；阿拉伯人的 
renew	1.vt. 使更新；续借；复兴；重申 2.vi. 更新；重新开始 
protagonist	1.n. 主角，主演；主要人物，领导者 
jittery	1.adj. 神经过敏的；战战兢兢的；紧张不安的 
outdoor	1.adj. 户外的；露天的；野外的（等于out-of-door） 
hard-up	1.adj. 缺钱，手头紧 
cheering	1.n. 欢呼；喝彩 2.adj. 令人高兴的 3.v. 欢呼（cheer的ing形式） 
ammunition	1.n. 弹药；军火 2.vt. 装弹药于 3.vi. 装弹药 
plethora	1.n. 过多；过剩；[医] 多血症 
chilly	1.adj. 寒冷的；怕冷的 2.n. (Chilly)人名；(法)希伊 
monuments	1.n. 遗迹；纪念物；不朽的功业；有永久价值的作品（monument的复数形式） 
MARCH	1.vi. （坚定地向某地）前进；行军，进军；游行示威；进展，进行 2.n. 行进，前进；行军；游行示威；进行曲 3.vt. 使前进；使行军 
unreported	1.adj. 未经报道的；未报告的 
Especially	1.adv. 特别；尤其；格外 
snatch	1.n. 抢夺；抓举；小量 2.vt. 夺得；抽空做；及时救助 3.vi. 抢走；很快接受 
doubles	1.n. 双打；[矿业] 双粒级煤；复制品（double的复数） 2.v. 使加倍；复制；折叠（double的三单形式） 3.n. (Doubles)人名；(英)道布尔斯 
chlorine	1.n. [化学] 氯（17号化学元素） 
chafe	1.n. 擦伤；气恼 2.n. (Chafe)人名；(尼日利)沙费；(英)蔡菲 3.vt. 擦破；擦热；擦痛；激怒 4.vi. 擦伤；磨擦；激怒 
uphill	1.n. 上升；登高 2.adj. 上坡的，向上的 3.adv. 向上地；往上坡 
sacks	1.麻布袋 2.n. (Sacks)人名；(英、西)萨克斯 
Revenues	1.n. [会计] 收入；税收；[会计] 收益；营业收入（revenue的复数形式） 
self-inflicted	1.adj. 自己造成的；加于自身的 
Energiewende	
overtime	1.n. [劳经] 加班时间；延长时间；加时赛 2.adj. 超时的；加班的 3.vt. 使超过时间 4.adv. 加班地 
ultra-low	1.超低的 
Production	1.n. 成果；产品；生产；作品 
Holdings	1.n. 占有的财产；所持股份 
Zone	1.n. 地带；地区；联防 2.vt. 使分成地带；环绕 3.vi. 分成区 4.n. (Zone)人名；(塞)佐内 
churning	1.n. 搅乳；一次提制的奶油 2.v. 搅拌（churn的ing形式） 
workforces	1.n. 劳动力；工人总数，职工总数 
entries	1.n. 进入；（词典所列的）词目（entry的复数形式） 
Infosys	1.n. 印孚瑟斯（印度历史上第一家在美国上市的公司） 
subscribe	1.vt. 签署；赞成；捐助 2.vi. 订阅；捐款；认购；赞成；签署 
intermediary	1.n. 中间人；仲裁者；调解者；媒介物 2.adj. 中间的；媒介的；中途的 
Normally	1.adv. 正常地；通常地，一般地 
insure	1.vt. 确保，保证；给…保险 2.vi. 确保；投保 
pogroms	1.vt. 对…大屠杀 2.n. 大屠杀 
Rhine	1.n. 莱茵河（位于欧洲西部） 
accumulating	1.n. [数] 累加 2.v. 积累（accumulate的ing形式） 
glimmer	1.n. 微光；闪光；少许 2.vi. 闪烁；发微光 
choke	1.n. 窒息；噎；[动力] 阻气门 2.vi. 窒息；阻塞；说不出话来 3.vt. 呛；使窒息；阻塞；抑制；扑灭 
phenomena	1.n. 现象（phenomenon 的复数 ） 
Presumably	1.adv. 大概；推测起来；可假定 
Kepler	1.n. 开普勒（德国天文学家，物理学家，开普勒定律的发现者）；开普勒环形山（在月球东北象限，直径为35公里） 
illuminating	1.adj. 照亮的，照明的；启蒙的，有启发性的 2.v. 照明，阐释（illuminate的现在分词形式） 
built-in	1.n. 内置 2.adj. 嵌入的；固定的 
decidedly	1.adv. 果断地；断然地；明显；毫无疑问 
tunes	1.调整 2.协调 3.n. (Tunes)人名；(葡)图内斯 
buttons	1.n. [电] 按钮（button的复数形式）；纽扣 
ebbed	1.n. 衰退；退潮；衰落 2.vi. 衰退；减少；衰落；潮退 
emigrated	1.vi. 移居；移居外国 2.vt. 移民 
ponds	1.n. [水文] 池塘（pond的复数） 2.v. 堵成池；筑成池塘（pond的三单形式） 3.n. (Ponds)人名；(英)庞兹 
Auschwitz	1.n. 奥许维次（波兰城市名） 2.n. (Auschwitz)人名；(德)奥施维茨 
sketches	1.n. [测] 草图；示意图；草图法（sketch的复数） 2.v. 素描，写生（sketch的第三人称单数） 
stabbed	1.v. 刺伤（stab的过去式和过去分词）；刺穿 
nurse	1.n. 护士；奶妈，保姆 2.vt. 看护，护理；照顾；培养；给…喂奶 3.vi. 照料，护理；喂奶；当保姆 4.n. (Nurse)人名；(英)纳斯 
hobble	1.n. 跛行步态 2.vt. 使跛行 3.vi. 蹒跚；跛行 
seething	1.v. 浸透；煮沸；激动（seethe的ing形式） 2.adj. 火热的，沸腾的 
hryvnia	1.格里夫尼亚（乌克兰的货币单位） 
nadir	1.n. 最低点，最底点；[天] 天底 2.n. (Nadir)人名；(土、葡、巴基、阿拉伯)纳迪尔 
measly	1.adj. 患麻疹的；极少的；低贱的 
Country	1.n. 国家，国土；国民；乡下，农村；乡村；故乡 2.adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的 
imaginative	1.adj. 虚构的；富于想像的；有创造力的 
Equality	1.n. 平等；相等；[数] 等式 
injustices	1.n. 不公正；不讲道义 
Guards	1.n. 守卫；后卫（guard的复数形式）；护卫队；禁卫军 2.v. 守卫；看守（guard的第三人称单数） 
electronically	1.adv. 电子地 
telephony	1.n. 电话（学）；电话制造 
pronouncements	1.n. 声明；宣告；公告；判决 
nominees	1.n. 被提名者，被指定人 
manoeuvre	1.n. 策略（等于maneuvre） 2.vt. 诱使；操纵；耍花招 3.vi. 调动；演习；用策略 
constitute	1.vt. 组成，构成；建立；任命 
Elena	1.n. 埃琳娜（女子名，等于Helen） 
standstill	1.n. 停顿；停止 
Unhappy	1.adj. 不快乐的；不幸福的；不适当的 
Reformation	1.n. 革新；改善 
legislator	1.n. 立法者 
Protestantism	1.n. 新教；新教教义；新教徒 
pastors	1.n. 牧师 2.vt. 作……的牧师 3.n. (Pastor)人名；(法、意、塞、葡、罗、捷、瑞典、德、西)帕斯托尔；(英)帕斯特 
marketers	1.n. 卖主；市场营销者（marketer的复数） 
evangelicals	1.n. 福音派（evangelical的复数形式） 
derail	1.n. 脱轨；[铁路] 脱轨器 2.vt. 使出轨 3.vi. 出轨 
sideways	1.adj. 向侧面的；一旁的 2.adv. 向侧面地；向一旁 
awarding	1.n. 颁奖（award的现在时，动名词形式）；获奖情况 
breakthroughs	1.突破 
adaptable	1.adj. 适合的；能适应的；可修改的 
Mohammad	1.n. 穆罕默德（穆斯林真主）；（阿拉伯）穆罕默德（男子名） 
year-long	1.长达一年的，一年之久的 
aggressively	1.adv. 侵略地；攻击地；有闯劲地 
federalist	1.adj. （支持）联邦党人的；联邦制的 2.n. 联邦党；联邦制拥护者；支持北部联邦者 
accords	
Dialogue	1.n. 对话；意见交换 2.vt. 用对话表达 3.vi. 对话 
zealots	1.n. 狂热者（zealot的复数）；奋锐党人 
underpins	1.vt. 巩固；支持；从下面支撑；加强…的基础 
dilute	1.vt. 稀释；冲淡；削弱 2.adj. 稀释的；淡的 3.vi. 变稀薄；变淡 
airtime	1.n. 电影或电视节目开始的时间 
Somalis	1.索马里人（Somali的复数） 
Fraser	1.n. 弗雷泽（男子名）；弗雷则河（加拿大西南部河流） 
Emmanuel	1.n. 以马内利（耶稣基督的别称）；伊曼纽尔（男子名，等于Immanuel） 
prosecuting	1.v. 起诉；进行（prosecute的ing形式）；实行 
Progressives	1.n. 进步派；进步人士（progressive的复数形式）；进步论者 
whale	1.n. 鲸；巨大的东西 2.vt. 猛揍；使惨败 3.vi. 捕鲸 4.n. (Whale)人名；(英)惠尔 
coercion	1.n. 强制；强迫；高压政治；威压 
dragon	1.n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人 2.n. (Dragon)人名；(匈)德劳贡；(英、法、芬、罗、匈)德拉贡 
apiece	1.adv. 每人；每个；各自地 
garment	1.n. 衣服，服装；外表，外观 2.vt. 给…穿衣服 3.n. (Garment)人名；(英)加门特 
IDB	1.abbr. 工业开发委员会（Industrial Development Board）；智能数据库（intelligent database）；工业发展公债（industrial development bond）；美洲开发银行（Inter-American Development Bank） 
lopsided	1.adj. 不平衡的，倾向一方的 
Based	1.v. 立基于，以…为基础（base的过去式和过去分词） 2.adj. 有根基的 
fulfilled	1.v. 实现（fulfill的过去分词）；履行；满足 2.adj. 满足的；十分愉快的 
plugged	1.v. 堵塞；接通电源（plug的过去分词） 2.adj. 堵塞的；塞紧的 
swaggering	1.adj. 大摇大摆的 2.vt. 吹牛；神气活现；昂首阔步（swagger的现在分词） 3.vi. 威吓；吓唬（swagger的现在分词） 
swapping	1.n. 交换；调动 2.v. 交换（swap的ing形式） 
humility	1.n. 谦卑，谦逊 
Botox	1.n. 肉毒杆菌；肉毒杆菌毒素；肉毒杆菌毒素制剂；波托克斯 
headwinds	1.n. 逆风；顶头风 
Witness	1.n. 证人；目击者；证据 2.vt. 目击；证明；为…作证 3.vi. 作证人 4.n. (Witness)人名；(津)威特尼斯 
auditor	1.n. 审计员；听者；旁听生 
prudence	1.n. 审慎 
maturing	1.n. 老化；成熟酌；（陶瓷的）烧成 2.v. 成熟（mature的ing形式）；到期 
Santo	1.n. 圣者像；圣者 2.adj. 神圣的 
hindsight	1.n. 后见之明；枪的照门 
Jupiter	1.n. [天] 木星；朱庇特（罗马神话中的宙斯神） 
moons	1.n. [天] 月亮；月状物；月份；人造地球卫星（moon的复数） 2.v. 闲逛；呆想；像月亮般发光（moon的三单形式） 
comets	1.n. [天] 彗星（comet的复数） 2.n. (Comets)人名；(法)科梅 
tremors	1.n. 震动；颤抖（tremor的复数） 2.v. [物] 颤动（tremor的三单形式） 
modification	1.n. 修改，修正；改变 
fascinated	1.v. 使着迷；使陶醉（fascinate的过去分词） 2.adj. 着迷的；被深深吸引的 
awe	1.n. 敬畏 2.vt. 使敬畏；使畏怯 3.n. (Awe)人名；(德)阿韦 
Villa	1.n. 别墅；郊区住宅 2.n. (Villa)人名；(西)比利亚；(英、法、葡、罗、意、芬、刚、瑞典)维拉 
originated	1.v. 起源，发起；发明（originate的过去式，过去分词）；准备呼叫 
fairy	1.n. 仙女，小精灵；漂亮姑娘 2.adj. 仙女的 
singular	1.n. 单数 2.adj. 单数的；单一的；非凡的；异常的 
Davies	1.n. 戴维斯（男子名） 
sculpture	1.n. 雕塑；雕刻；刻蚀 2.vt. 雕塑；雕刻；刻蚀 3.vi. 从事雕刻 
procession	1.n. 队伍，行列；一列，一排；列队行进 2.vt. 沿著……行进 3.vi. 列队行进 
stocked	1.n. 股份，股票；库存；血统；树干 2.adj. 存货的，常备的；平凡的 3.vt. 进货；备有；装把手于… 4.vi. 囤积；办货；出新芽 5.n. (Stock)人名；(德、匈、捷)施托克；(英、法、葡、瑞典)斯托克 
Pyongyang	1.n. 平壤（朝鲜民主主义人民共和国首都） 
laggards	1.n. 落后者；迟滞者（laggard的复数） 
residual	1.n. 剩余；残渣 2.adj. 剩余的；残留的 
Planck	1.n. 普朗克（德国物理学家） 
Founded	1.v. 建立（found的过去分词）；创立 2.adj. 有基础的 
Lyft	
Aside	1.prep. 在…旁边 2.n. 旁白；私语，悄悄话；离题的话 3.adv. 离开，撇开；在旁边 
millionaires	1.n. [经] 百万富翁（millionaire的复数形式） 
jailing	1.n. 监狱；监牢；拘留所 2.vt. 监禁；下狱 3.n. (Jail)人名；(英)杰尔 
to-do	1.n. 要办的事；骚乱；大惊小怪 
complying	
ferries	1.n. 渡轮；摆渡（ferry的复数） 2.v. 渡运；运送；摆渡（ferry的第三人称单数） 3.n. (Ferries)人名；(英)费里斯 
inflammatory	
Shipping	1.n. [船] 船舶，船舶吨数；海运；运送 2.v. 运送，乘船（ship的ing形式） 3.n. (Shipping)人名；(英)希平 
recalling	1.n. 回顾；召回；回想 2.v. 召回；回想起；回收；使恢复（recall的ing形式） 
popularly	1.adv. 流行地；通俗地；普及地；大众地 
softening	1.n. [油脂] 软化；变软 2.v. 使…变柔软（soften的ing形式） 
